TIMESTAMP,Delta_18O,Delta_D,Latitude,Longitude,Landscape
201005240000,-37.987,-285.304,77.45N,51.05W,Ice Sheet
201005250000,-39.2523,-295.427,77.45N,51.05W,Ice Sheet
201005260000,-38.8135,-291.59,77.45N,51.05W,Ice Sheet
201005270000,-41.3822,-306.995,77.45N,51.05W,Ice Sheet
201005280000,-45.4367,-333.772,77.45N,51.05W,Ice Sheet
201005290000,-49.0223,-352.165,77.45N,51.05W,Ice Sheet
201005300000,-50.3094,-354.475,77.45N,51.05W,Ice Sheet
201005310000,-40.6121,-298.224,77.45N,51.05W,Ice Sheet
201006010000,-34.2033,-255.038,77.45N,51.05W,Ice Sheet
201006020000,-35.3184,-263.827,77.45N,51.05W,Ice Sheet
201006030000,-32.7849,-242.499,77.45N,51.05W,Ice Sheet
201006040000,-38.7744,-288.022,77.45N,51.05W,Ice Sheet
201006050000,-37.3709,-281.857,77.45N,51.05W,Ice Sheet
201006060000,-34.5645,-260.265,77.45N,51.05W,Ice Sheet
201006070000,-33.2318,-251.893,77.45N,51.05W,Ice Sheet
201006080000,-9999,-9999,77.45N,51.05W,Ice Sheet
201006090000,-40.5482,-295.476,77.45N,51.05W,Ice Sheet
201006100000,-39.1333,-288.949,77.45N,51.05W,Ice Sheet
201006110000,-35.3822,-262.746,77.45N,51.05W,Ice Sheet
201006120000,-36.1351,-262.586,77.45N,51.05W,Ice Sheet
201006130000,-36.7784,-264.282,77.45N,51.05W,Ice Sheet
201006140000,-42.5034,-306.172,77.45N,51.05W,Ice Sheet
201006150000,-40.603,-291.794,77.45N,51.05W,Ice Sheet
201006160000,-41.9147,-299,77.45N,51.05W,Ice Sheet
201006170000,-38.5899,-282.7,77.45N,51.05W,Ice Sheet
201006180000,-34.2298,-246.156,77.45N,51.05W,Ice Sheet
201006190000,-41.3442,-283.96,77.45N,51.05W,Ice Sheet
201006200000,-37.7311,-266.174,77.45N,51.05W,Ice Sheet
201006210000,-38.924,-289.611,77.45N,51.05W,Ice Sheet
201006220000,-39.0221,-289.032,77.45N,51.05W,Ice Sheet
201006230000,-39.124,-289.533,77.45N,51.05W,Ice Sheet
201006240000,-38.9826,-286.022,77.45N,51.05W,Ice Sheet
201006250000,-38.0137,-278.864,77.45N,51.05W,Ice Sheet
201006260000,-39.8417,-292.966,77.45N,51.05W,Ice Sheet
201006270000,-37.5143,-273.765,77.45N,51.05W,Ice Sheet
201006280000,-40.8307,-287.461,77.45N,51.05W,Ice Sheet
201006290000,-46.1148,-322.23,77.45N,51.05W,Ice Sheet
201006300000,-46.757,-322.362,77.45N,51.05W,Ice Sheet
201007010000,-46.4188,-321.202,77.45N,51.05W,Ice Sheet
201007020000,-43.566,-316.699,77.45N,51.05W,Ice Sheet
201007030000,-43.8108,-318.423,77.45N,51.05W,Ice Sheet
201007040000,-43.6155,-312.833,77.45N,51.05W,Ice Sheet
201007050000,-41.8668,-304.081,77.45N,51.05W,Ice Sheet
201007060000,-42.5169,-308.165,77.45N,51.05W,Ice Sheet
201007070000,-42.1355,-311.287,77.45N,51.05W,Ice Sheet
201007080000,-40.3684,-304.399,77.45N,51.05W,Ice Sheet
201007090000,-40.7521,-306.776,77.45N,51.05W,Ice Sheet
201007100000,-42.0758,-312.421,77.45N,51.05W,Ice Sheet
201007110000,-9999,-9999,77.45N,51.05W,Ice Sheet
201007120000,-39.2098,-285.285,77.45N,51.05W,Ice Sheet
201007130000,-37.3053,-274.334,77.45N,51.05W,Ice Sheet
201007140000,-39.8517,-289.001,77.45N,51.05W,Ice Sheet
201007150000,-38.9404,-283.979,77.45N,51.05W,Ice Sheet
201007160000,-39.7522,-280.412,77.45N,51.05W,Ice Sheet
201007170000,-41.8624,-289.814,77.45N,51.05W,Ice Sheet
201007180000,-41.8745,-299.196,77.45N,51.05W,Ice Sheet
201007190000,-40.6763,-289.811,77.45N,51.05W,Ice Sheet
201007200000,-37.6943,-269.484,77.45N,51.05W,Ice Sheet
201007210000,-37.4604,-269.262,77.45N,51.05W,Ice Sheet
201007220000,-36.2825,-260.617,77.45N,51.05W,Ice Sheet
201007230000,-42.62,-294.398,77.45N,51.05W,Ice Sheet
201007240000,-44.7572,-332.577,77.45N,51.05W,Ice Sheet
201007250000,-45.6484,-331.893,77.45N,51.05W,Ice Sheet
201007260000,-45.9706,-335.041,77.45N,51.05W,Ice Sheet
201007270000,-45.3152,-330.398,77.45N,51.05W,Ice Sheet
201007280000,-43.5264,-317.92,77.45N,51.05W,Ice Sheet
201007290000,-41.9006,-307.919,77.45N,51.05W,Ice Sheet
201007300000,-38.4366,-284.727,77.45N,51.05W,Ice Sheet
201007310000,-40.4362,-297.113,77.45N,51.05W,Ice Sheet
201008010000,-40.3547,-297.07,77.45N,51.05W,Ice Sheet
201008020000,-40.7118,-300.191,77.45N,51.05W,Ice Sheet
201008030000,-45.7444,-329.586,77.45N,51.05W,Ice Sheet
201107040000,-9999,-9999,77.45N,51.05W,Ice Sheet
201107050000,-42.4658,-308.335,77.45N,51.05W,Ice Sheet
201107060000,-42.3745,-308.003,77.45N,51.05W,Ice Sheet
201107070000,-41.4285,-302.374,77.45N,51.05W,Ice Sheet
201107080000,-40.5071,-298.078,77.45N,51.05W,Ice Sheet
201107090000,-37.3772,-276.752,77.45N,51.05W,Ice Sheet
201107100000,-40.2639,-296.645,77.45N,51.05W,Ice Sheet
201107110000,-38.7782,-286.561,77.45N,51.05W,Ice Sheet
201107120000,-34.0396,-255.012,77.45N,51.05W,Ice Sheet
201107130000,-34.0155,-251.805,77.45N,51.05W,Ice Sheet
201107140000,-37.0421,-272.623,77.45N,51.05W,Ice Sheet
201107150000,-34.0416,-253.531,77.45N,51.05W,Ice Sheet
201107160000,-35.9498,-262.771,77.45N,51.05W,Ice Sheet
201107170000,-36.8246,-269.093,77.45N,51.05W,Ice Sheet
201107180000,-38.6245,-286.808,77.45N,51.05W,Ice Sheet
201107190000,-39.377,-294.034,77.45N,51.05W,Ice Sheet
201107200000,-37.0919,-276.086,77.45N,51.05W,Ice Sheet
201107210000,-36.0665,-269.054,77.45N,51.05W,Ice Sheet
201107220000,-34.3624,-256.661,77.45N,51.05W,Ice Sheet
201107230000,-34.3961,-255.6,77.45N,51.05W,Ice Sheet
201107240000,-36.5352,-272.416,77.45N,51.05W,Ice Sheet
201107250000,-37.5048,-279.53,77.45N,51.05W,Ice Sheet
201107260000,-37.3324,-278.567,77.45N,51.05W,Ice Sheet
201107270000,-39.7987,-294.512,77.45N,51.05W,Ice Sheet
201107280000,-39.3469,-293.019,77.45N,51.05W,Ice Sheet
201107290000,-39.3474,-290.187,77.45N,51.05W,Ice Sheet
201107300000,-35.5518,-262.426,77.45N,51.05W,Ice Sheet
201107310000,-39.0815,-289.042,77.45N,51.05W,Ice Sheet
201108010000,-39.7319,-294.579,77.45N,51.05W,Ice Sheet
201108020000,-38.9411,-288.133,77.45N,51.05W,Ice Sheet
201108030000,-39.9632,-298.459,77.45N,51.05W,Ice Sheet
201205200000,-51.2301,-386.031,77.45N,51.05W,Ice Sheet
201205210000,-52.0104,-393.089,77.45N,51.05W,Ice Sheet
201205220000,-48.716,-367.437,77.45N,51.05W,Ice Sheet
201205230000,-47.6398,-358.271,77.45N,51.05W,Ice Sheet
201205240000,-9999,-9999,77.45N,51.05W,Ice Sheet
201205250000,-47.3966,-356.311,77.45N,51.05W,Ice Sheet
201205260000,-49.0488,-365.057,77.45N,51.05W,Ice Sheet
201205270000,-43.3439,-326.592,77.45N,51.05W,Ice Sheet
201205280000,-32.8284,-246.842,77.45N,51.05W,Ice Sheet
201205290000,-28.7273,-213.335,77.45N,51.05W,Ice Sheet
201205300000,-31.4914,-233.82,77.45N,51.05W,Ice Sheet
201205310000,-27.3507,-202.076,77.45N,51.05W,Ice Sheet
201206010000,-33.919,-250.612,77.45N,51.05W,Ice Sheet
201206020000,-34.0263,-253.23,77.45N,51.05W,Ice Sheet
201206030000,-35.2091,-260.351,77.45N,51.05W,Ice Sheet
201206040000,-34.3081,-253.653,77.45N,51.05W,Ice Sheet
201206050000,-38.1501,-277.379,77.45N,51.05W,Ice Sheet
201206060000,-40.074,-289.05,77.45N,51.05W,Ice Sheet
201206070000,-37.9997,-277.042,77.45N,51.05W,Ice Sheet
201206080000,-39.2632,-286.678,77.45N,51.05W,Ice Sheet
201206090000,-42.7198,-310.796,77.45N,51.05W,Ice Sheet
201206100000,-42.5145,-309.561,77.45N,51.05W,Ice Sheet
201206110000,-42.7761,-310.235,77.45N,51.05W,Ice Sheet
201206120000,-40.6519,-297.692,77.45N,51.05W,Ice Sheet
201206130000,-35.8626,-264.849,77.45N,51.05W,Ice Sheet
201206140000,-30.821,-228.058,77.45N,51.05W,Ice Sheet
201206150000,-32.9036,-241.486,77.45N,51.05W,Ice Sheet
201206160000,-39.3411,-288.314,77.45N,51.05W,Ice Sheet
201206170000,-37.3244,-271.32,77.45N,51.05W,Ice Sheet
201206180000,-33.2688,-243.194,77.45N,51.05W,Ice Sheet
201206190000,-31.1754,-228.808,77.45N,51.05W,Ice Sheet
201206200000,-34.2074,-252.928,77.45N,51.05W,Ice Sheet
201206210000,-41.4186,-305.457,77.45N,51.05W,Ice Sheet
201206220000,-39.6518,-291.731,77.45N,51.05W,Ice Sheet
201206230000,-39.2605,-289.612,77.45N,51.05W,Ice Sheet
201206240000,-34.476,-254.472,77.45N,51.05W,Ice Sheet
201206250000,-37.2198,-273.821,77.45N,51.05W,Ice Sheet
201206260000,-37.8317,-273.083,77.45N,51.05W,Ice Sheet
201206270000,-35.0698,-256.635,77.45N,51.05W,Ice Sheet
201206280000,-35.8408,-261.699,77.45N,51.05W,Ice Sheet
201206290000,-41.2164,-301.666,77.45N,51.05W,Ice Sheet
201206300000,-44.2005,-324.841,77.45N,51.05W,Ice Sheet
201207010000,-44.0901,-322.774,77.45N,51.05W,Ice Sheet
201207020000,-44.7365,-327.595,77.45N,51.05W,Ice Sheet
201207030000,-42.6133,-312.637,77.45N,51.05W,Ice Sheet
201207040000,-37.4644,-276.351,77.45N,51.05W,Ice Sheet
201207050000,-34.768,-256.206,77.45N,51.05W,Ice Sheet
201207060000,-40.1796,-290.602,77.45N,51.05W,Ice Sheet
201207070000,-39.4111,-289.533,77.45N,51.05W,Ice Sheet
201207080000,-42.0311,-307.51,77.45N,51.05W,Ice Sheet
201207090000,-36.0204,-269.657,77.45N,51.05W,Ice Sheet
201207100000,-30.7574,-233.196,77.45N,51.05W,Ice Sheet
201207110000,-28.9073,-218.974,77.45N,51.05W,Ice Sheet
201207120000,-30.5964,-229.272,77.45N,51.05W,Ice Sheet
201207130000,-30.3207,-226.426,77.45N,51.05W,Ice Sheet
201207140000,-32.9754,-242.734,77.45N,51.05W,Ice Sheet
201207150000,-33.8904,-247.841,77.45N,51.05W,Ice Sheet
201207160000,-33.7315,-247.619,77.45N,51.05W,Ice Sheet
201207170000,-35.6906,-260.571,77.45N,51.05W,Ice Sheet
201207180000,-35.9898,-264.291,77.45N,51.05W,Ice Sheet
201207190000,-37.1214,-273.993,77.45N,51.05W,Ice Sheet
201207200000,-38.2725,-284.438,77.45N,51.05W,Ice Sheet
201207210000,-38.6016,-281.111,77.45N,51.05W,Ice Sheet
201207220000,-44.3517,-320.257,77.45N,51.05W,Ice Sheet
201207230000,-45.1245,-329.736,77.45N,51.05W,Ice Sheet
201207240000,-46.0275,-334.03,77.45N,51.05W,Ice Sheet
201207250000,-39.6006,-293.049,77.45N,51.05W,Ice Sheet
201207260000,-39.2553,-289.501,77.45N,51.05W,Ice Sheet
201207270000,-33.7557,-253.318,77.45N,51.05W,Ice Sheet
201207280000,-38.4994,-282.11,77.45N,51.05W,Ice Sheet
201207290000,-38.2459,-282.528,77.45N,51.05W,Ice Sheet
201207300000,-34.7983,-258.333,77.45N,51.05W,Ice Sheet
201207310000,-35.9724,-267.194,77.45N,51.05W,Ice Sheet
201208010000,-39.3423,-285.739,77.45N,51.05W,Ice Sheet
201208020000,-38.1601,-280.018,77.45N,51.05W,Ice Sheet
201208030000,-38.2741,-281.422,77.45N,51.05W,Ice Sheet